Reporting unit,Reporting unit type,State,Peer group,Interval,Time period,Patient cohort,Number of patients,,Percentage of patients seen on time,,Peer group average
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 4. Semi-Urgent,235,,95%,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 4. Semi-Urgent,195,,99%,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 4. Semi-Urgent,278,,97%,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 4. Semi-Urgent,249,,93%,*,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 4. Semi-Urgent,215,,NP†,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,306,,NP†,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2011–12,Triage 5. Non-Urgent,370,,99%,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2012–13,Triage 5. Non-Urgent,312,,99%,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 5. Non-Urgent,223,,99%,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 5. Non-Urgent,197,,100%,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 5. Non-Urgent,165,,100%,*,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 5. Non-Urgent,115,,NP†,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 5. Non-Urgent,145,,NP†,,Not peered
Merriwa Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 5. Non-Urgent,100,,NP†,,Not peered
Mid North Coast,Local hospital network,NSW,Unpeered,FY,2018–19,Triage 1. Resuscitation,614,,NP,,Not peered
Mid North Coast,Local hospital network,NSW,Unpeered,FY,2018–19,Triage 2. Emergency,"14,555",,83%,,Not peered
Mid North Coast,Local hospital network,NSW,Unpeered,FY,2018–19,Triage 3. Urgent,"42,116",,76%,,Not peered
Mid North Coast,Local hospital network,NSW,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,"50,172",,81%,,Not peered
Mid North Coast,Local hospital network,NSW,Unpeered,FY,2018–19,Triage 5. Non-Urgent,"12,474",,94%,,Not peered
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 1. Resuscitation,88,,100%,,100%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 1. Resuscitation,88,,100%,,100%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 1. Resuscitation,78,,100%,,100%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 1. Resuscitation,44,,100%,,100%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 1. Resuscitation,46,,100%,,100%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 1. Resuscitation,61,,100%,,100%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 1. Resuscitation,81,,100%,,100%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 1. Resuscitation,58,,100%,,100%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 2. Emergency,"1,098",,93%,,81%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 2. Emergency,"1,121",,92%,,88%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 2. Emergency,"1,022",,89%,,85%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 2. Emergency,952,,84%,,86%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 2. Emergency,827,,80%,,86%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 2. Emergency,963,,85%,,86%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 2. Emergency,"1,219",,90%,,85%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 2. Emergency,"1,391",,85%,,83%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 3. Urgent,"3,355",,87%,,80%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 3. Urgent,"4,063",,82%,,84%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 3. Urgent,"3,928",,82%,,82%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 3. Urgent,"4,189",,76%,,84%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 3. Urgent,"4,213",,74%,,84%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 3. Urgent,"4,754",,74%,,85%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 3. Urgent,"4,481",,75%,,83%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 3. Urgent,"4,278",,73%,,81%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 4. Semi-Urgent,"6,401",,84%,,81%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 4. Semi-Urgent,"6,750",,82%,,83%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 4. Semi-Urgent,"7,459",,82%,,83%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 4. Semi-Urgent,"7,623",,81%,,85%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 4. Semi-Urgent,"8,316",,85%,,85%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 4. Semi-Urgent,"7,221",,84%,,85%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 4. Semi-Urgent,"5,851",,82%,,84%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 4. Semi-Urgent,"5,427",,81%,,83%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 5. Non-Urgent,"2,123",,95%,,94%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 5. Non-Urgent,"1,335",,96%,,95%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 5. Non-Urgent,"1,220",,97%,,95%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,280",,96%,,95%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,279",,97%,,95%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,111",,97%,,95%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 5. Non-Urgent,954,,96%,,95%
Milton Ulladulla Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,501",,96%,,95%
Molong Health Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 1. Resuscitation,<5,,NP,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 1. Resuscitation,<5,,NP,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 1. Resuscitation,0,,-,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 1. Resuscitation,<5,,NP,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 1. Resuscitation,0,,-,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 1. Resuscitation,<5,,NP,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 2. Emergency,40,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 2. Emergency,48,,89%,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 2. Emergency,47,,98%,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 2. Emergency,72,,86%,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 2. Emergency,69,,56%,*,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 2. Emergency,87,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 3. Urgent,286,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 3. Urgent,190,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 3. Urgent,191,,92%,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 3. Urgent,278,,95%,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 3. Urgent,271,,94%,*,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 3. Urgent,309,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 4. Semi-Urgent,380,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 4. Semi-Urgent,343,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 4. Semi-Urgent,360,,96%,*,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 4. Semi-Urgent,412,,95%,*,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 4. Semi-Urgent,455,,96%,*,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,490,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 5. Non-Urgent,261,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 5. Non-Urgent,324,,98%,*,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 5. Non-Urgent,312,,100%,*,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 5. Non-Urgent,235,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 5. Non-Urgent,153,,NP†,,Not peered
Molong Health Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 5. Non-Urgent,161,,NP†,,Not peered
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 1. Resuscitation,131,,100%,,100%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 1. Resuscitation,151,,100%,,100%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 1. Resuscitation,130,,100%,,100%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 1. Resuscitation,141,,100%,,100%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 1. Resuscitation,141,,100%,,100%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 1. Resuscitation,143,,100%,,100%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 1. Resuscitation,182,,100%,,100%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 1. Resuscitation,55,,100%,,100%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 2. Emergency,"2,322",,78%,,81%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 2. Emergency,"2,765",,86%,,84%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 2. Emergency,"3,137",,86%,,84%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 2. Emergency,"3,345",,91%,,80%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 2. Emergency,"4,382",,87%,,77%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 2. Emergency,"4,720",,90%,,76%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 2. Emergency,"4,833",,91%,,77%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 2. Emergency,"1,552",,88%,,76%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 3. Urgent,"8,337",,74%,,62%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 3. Urgent,"9,677",,73%,,63%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 3. Urgent,"9,521",,78%,,65%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 3. Urgent,"10,546",,78%,,63%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 3. Urgent,"12,629",,81%,,63%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 3. Urgent,"12,418",,82%,,61%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 3. Urgent,"12,295",,84%,,60%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 3. Urgent,"4,108",,85%,,59%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 4. Semi-Urgent,"13,202",,75%,,66%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 4. Semi-Urgent,"13,776",,76%,,68%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 4. Semi-Urgent,"14,701",,79%,,72%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 4. Semi-Urgent,"15,027",,80%,,72%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 4. Semi-Urgent,"13,675",,85%,,73%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 4. Semi-Urgent,"12,911",,85%,,73%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 4. Semi-Urgent,"13,178",,85%,,72%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 4. Semi-Urgent,"4,109",,87%,,71%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 5. Non-Urgent,"3,398",,91%,,89%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 5. Non-Urgent,"3,421",,92%,,90%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 5. Non-Urgent,"3,729",,93%,,92%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 5. Non-Urgent,"3,545",,94%,,92%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 5. Non-Urgent,"2,888",,94%,,92%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 5. Non-Urgent,"3,522",,94%,,92%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 5. Non-Urgent,"3,307",,94%,,92%
Mona Vale Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,160",,96%,,91%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 1. Resuscitation,16,,100%,,100%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 1. Resuscitation,37,,100%,,100%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 1. Resuscitation,27,,100%,,100%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 1. Resuscitation,23,,100%,,100%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 1. Resuscitation,25,,100%,,100%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 1. Resuscitation,11,,100%,,100%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 1. Resuscitation,28,,100%,,100%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 1. Resuscitation,26,,100%,,100%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 2. Emergency,484,,81%,,81%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 2. Emergency,629,,87%,,88%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 2. Emergency,444,,93%,,85%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 2. Emergency,590,,92%,,86%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 2. Emergency,572,,90%,,86%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 2. Emergency,649,,86%,,86%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 2. Emergency,745,,86%,,85%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 2. Emergency,724,,83%,,83%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 3. Urgent,"1,447",,82%,*,80%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 3. Urgent,"1,759",,90%,,84%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 3. Urgent,"1,844",,95%,,82%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 3. Urgent,"1,994",,96%,,84%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 3. Urgent,"1,992",,92%,,84%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 3. Urgent,"2,396",,89%,,85%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 3. Urgent,"2,354",,91%,,83%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 3. Urgent,"2,300",,88%,,81%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 4. Semi-Urgent,"5,370",,NP†,,81%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 4. Semi-Urgent,"4,194",,94%,*,83%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 4. Semi-Urgent,"4,282",,97%,,83%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 4. Semi-Urgent,"3,954",,98%,,85%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 4. Semi-Urgent,"3,994",,96%,,85%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 4. Semi-Urgent,"3,542",,95%,,85%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 4. Semi-Urgent,"4,131",,96%,,84%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 4. Semi-Urgent,"3,615",,92%,,83%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 5. Non-Urgent,723,,NP†,,94%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 5. Non-Urgent,367,,NP†,,95%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 5. Non-Urgent,367,,100%,,95%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 5. Non-Urgent,440,,100%,,95%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 5. Non-Urgent,409,,99%,,95%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 5. Non-Urgent,409,,100%,,95%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 5. Non-Urgent,556,,100%,*,95%
Moree Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 5. Non-Urgent,388,,99%,,95%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 1. Resuscitation,31,,100%,,100%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 1. Resuscitation,30,,100%,,100%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 1. Resuscitation,34,,100%,,100%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 1. Resuscitation,49,,100%,,100%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 1. Resuscitation,70,,100%,,100%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 1. Resuscitation,69,,100%,,100%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 1. Resuscitation,76,,100%,,100%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 1. Resuscitation,90,,100%,,100%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 2. Emergency,601,,49%,,81%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 2. Emergency,648,,82%,,88%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 2. Emergency,878,,94%,,85%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 2. Emergency,"1,028",,98%,,86%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 2. Emergency,"1,025",,91%,,86%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 2. Emergency,"1,223",,92%,,86%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 2. Emergency,"1,290",,90%,,85%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 2. Emergency,"1,496",,84%,,83%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 3. Urgent,"2,506",,62%,,80%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 3. Urgent,"2,624",,75%,,84%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 3. Urgent,"2,595",,87%,,82%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 3. Urgent,"2,758",,89%,,84%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 3. Urgent,"2,904",,85%,,84%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 3. Urgent,"3,234",,85%,,85%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 3. Urgent,"3,628",,85%,,83%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 3. Urgent,"3,994",,77%,,81%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 4. Semi-Urgent,"4,400",,68%,,81%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 4. Semi-Urgent,"4,424",,74%,,83%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 4. Semi-Urgent,"4,049",,85%,,83%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 4. Semi-Urgent,"3,958",,86%,,85%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 4. Semi-Urgent,"3,666",,84%,*,85%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 4. Semi-Urgent,"3,518",,87%,,85%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 4. Semi-Urgent,"3,518",,86%,,84%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 4. Semi-Urgent,"3,546",,80%,,83%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 5. Non-Urgent,"2,503",,87%,*,94%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 5. Non-Urgent,"2,254",,86%,*,95%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 5. Non-Urgent,"2,161",,NP†,,95%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,473",,NP†,,95%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,514",,NP†,,95%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,246",,NP†,,95%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,061",,97%,*,95%
Moruya Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,172",,91%,*,95%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 1. Resuscitation,171,,100%,,99%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 1. Resuscitation,133,,100%,,100%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 1. Resuscitation,149,,100%,,100%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 1. Resuscitation,125,,100%,,99%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 1. Resuscitation,107,,100%,,100%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 1. Resuscitation,100,,100%,,100%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 1. Resuscitation,161,,100%,,100%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2018–19,Triage 1. Resuscitation,120,,100%,,100%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 2. Emergency,"4,040",,73%,,79%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 2. Emergency,"4,828",,75%,,81%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 2. Emergency,"5,050",,79%,,83%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 2. Emergency,"4,981",,82%,,80%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 2. Emergency,"4,631",,82%,,77%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 2. Emergency,"5,253",,78%,,79%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 2. Emergency,"6,183",,86%,,77%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2018–19,Triage 2. Emergency,"6,696",,84%,,75%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 3. Urgent,"10,800",,57%,,67%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 3. Urgent,"12,604",,58%,,66%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 3. Urgent,"13,147",,59%,,68%
Mount Druitt Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 3. Urgent,"12,199",,60%,,66%
