hospital_name,hospital_address,state,peer_group,hospital_type,interval,time_period,resuscitation_cohort_percent_patient_seen_on_time,emergency_cohort_percent_patient_seen_on_time,urgent_cohort_percent_patient_seen_on_time,semi_urgent_cohort_percent_patient_seen_on_time,non_urgent_cohort_percent_patient_seen_on_time,hospital_latitude,hospital_longitude,hospital_location_type,hospital_postal_code,hospital_formatted_address,hospital_place_id
"Jerilderie Multi Purpose Service Hospital,","Jerilderie Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,93,99,100,100,-35.356724,145.720025,ROOFTOP,New South Wales,"33-39 Southey St, Jerilderie NSW 2716, Australia",ChIJ78oadMmJIGsR-gAfdFxcOfU
"John Hunter Hospital Hospital,","John Hunter Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,73,74,86,-32.9227052,151.6927281,GEOMETRIC_CENTER,Australia,"Lookout Rd, New Lambton Heights NSW 2305, Australia",ChIJLa8TtB4-c2sRkAvw-Wh9AQ8
"Junee Multi Purpose Service Hospital,","Junee Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,85,93,98,99,-34.8649396,147.5792262,ROOFTOP,New South Wales,"67 Broadway St, Junee NSW 2663, Australia",ChIJ16dkfvz2GGsR24sqKfoWGvs
"Kempsey Hospital Hospital,","Kempsey Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,83,78,83,96,-31.068374,152.8198321,ROOFTOP,New South Wales,"119 River St, Kempsey NSW 2440, Australia",ChIJOacJ94F1nmsRIM_9c7UJBg8
"Kurri Kurri Hospital Hospital,","Kurri Kurri Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,,93,90,94,100,-32.8250166,151.463018,ROOFTOP,New South Wales,"434 Lang St, Kurri Kurri NSW 2327, Australia",ChIJXQJMC0s2c2sRkArw-Wh9AQ8
"Kyogle Multi Purpose Service Hospital,","Kyogle Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,91,88,76,,-28.6270759,153.0017286,ROOFTOP,New South Wales,"199 Summerland Way, Kyogle NSW 2474, Australia",ChIJ2WPE3XevkGsR83fJ_N6wmDI
"Lachlan Health Service - Forbes Hospital,","Lachlan Health Service - Forbes Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,80,75,84,95,-33.3965749,148.0136199,GEOMETRIC_CENTER,Australia,"Elgin St, Forbes NSW 2871, Australia",ChIJrR_BadGMGmsRO9RMZ_hxop4
"Lachlan Health Service - Parkes Hospital,","Lachlan Health Service - Parkes Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,76,85,90,97,-33.1533148,148.1698885,ROOFTOP,New South Wales,"2 Morrissey Way, Parkes NSW 2870, Australia",ChIJiVsJeV-7GmsRKHjTgH0KTLs
"Lake Cargelligo Multi Purpose Service Hospital,","Lake Cargelligo Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,87,95,97,99,-33.2919117,146.3740847,ROOFTOP,New South Wales,"28 Uabba St, Lake Cargelligo NSW 2672, Australia",ChIJ6TRFrZtIHGsRdoDgBdNcLLc
"Leeton Hospital Hospital,","Leeton Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,100,100,99,100,-34.5447803,146.4084168,GEOMETRIC_CENTER,Australia,"Cnr Wade Avenue and, Palm Ave, Leeton NSW 2705, Australia",ChIJO98OIiESH2sR56_gJ-t1fCo
"Lightning Ridge Multi Purpose Service Hospital,","Lightning Ridge Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,65,83,96,,-29.4301285,147.9817322,ROOFTOP,New South Wales,"25 Pandora St, Lightning Ridge NSW 2834, Australia",ChIJc7jBIZXyqGsRuXtOBGmEWsQ
"Lismore Hospital Hospital,","Lismore Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,65,74,93,-28.8089175,153.2919905,ROOFTOP,New South Wales,"60 Uralba St, Lismore NSW 2480, Australia",ChIJlYbI3wWekGsR8Q_OFetWOYo
"Lithgow Hospital Hospital,","Lithgow Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,90,86,92,98,-33.498979,150.1277606,GEOMETRIC_CENTER,2790,"Col Drewe Dr & Great Western Highway, Lithgow NSW 2790, Australia",ChIJD06q_doLEmsR4M_9c7UJBg8
"Liverpool Hospital Hospital,","Liverpool Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,70,76,87,97,-33.9203683,150.9322007,GEOMETRIC_CENTER,Australia,"Elizabeth &, Goulburn St, Liverpool NSW 2170, Australia",ChIJmQj7tOqVEmsRUAjw-Wh9AQ8
"Lockhart Hospital Hospital,","Lockhart Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,98,100,100,100,-35.222335,146.719068,ROOFTOP,New South Wales,"53-55 Hebden St, Lockhart NSW 2656, Australia",ChIJ23p5CcrvIWsRoZioWdNOBPQ
"Macksville Hospital Hospital,","Macksville Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,91,85,84,93,-30.7134559,152.9200012,GEOMETRIC_CENTER,Australia,"Boundary St, Macksville NSW 2447, Australia",ChIJv0O6U_8rnGsRFvmYEUdqzLA
"Maclean Hospital Hospital,","Maclean Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,74,78,74,92,-29.4543193,153.2012818,ROOFTOP,New South Wales,"21 Union St, Maclean NSW 2463, Australia",ChIJg8E1E301mmsRFUdrHgVqqR4
"Maitland Hospital Hospital,","Maitland Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,78,67,61,81,-32.7257763,151.545378,ROOFTOP,New South Wales,"560 High St, Maitland NSW 2320, Australia",ChIJ59Sqws9Fc2sRFJgr6F9xf7Q
"Manilla Hospital Hospital,","Manilla Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,78,85,92,97,-30.7456104,150.7323461,ROOFTOP,New South Wales,"112 Court St, Manilla NSW 2346, Australia",ChIJvzeg0gdloGsRpfVTK-W1nbg
"Manly Hospital Hospital,","Manly Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,92,91,93,98,-33.805136,151.284522,ROOFTOP,New South Wales,"17 Cove Ave, Manly NSW 2095, Australia",ChIJbxaQOAurEmsRSeVHGbEjRb0
"Manning Hospital Hospital,","Manning Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,73,65,66,88,-31.9101774,152.4547463,ROOFTOP,New South Wales,"26 York St, Taree NSW 2430, Australia",ChIJTYjhdCvIdWsR8a9aWll-xuo
"Menindee Health Service Hospital,","Menindee Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,99,99,99,100,-32.3911427,142.4166102,GEOMETRIC_CENTER,Australia,"Perry St, Menindee NSW 2879, Australia",ChIJ1S6oA8C06GoRljR0CZrjYmE
"Merriwa Multi Purpose Service Hospital,","Merriwa Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,,,,-32.1426216,150.3612316,GEOMETRIC_CENTER,2329,"Corner Mackenzie Street and Brisbane Street, Merriwa NSW 2329, Australia",ChIJ_zZWrvuIC2sRRnNWXgnjek0
"Mid North Coast Hospital,","Mid North Coast Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,,83,76,81,94,-30.3179835,153.0940034,ROOFTOP,Coffs Harbour City Council,"Coffs Harbour Hospital, 345 Pacific Hwy, Coffs Harbour NSW 2450, Australia",ChIJdV_IMdoNnGsRA4oVgm7t8Rw
"Milton Ulladulla Hospital Hospital,","Milton Ulladulla Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,85,73,81,96,-35.31724810000001,150.438946,ROOFTOP,New South Wales,"106 Princes Hwy, Milton NSW 2538, Australia",ChIJUwNr6HxQFGsR8f2PEHx7c4U
"Molong Health Service Hospital,","Molong Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,,,,-33.0874899,148.8596311,ROOFTOP,New South Wales,"140 King St, Molong NSW 2866, Australia",ChIJfb8KFZHYD2sR4ztZKOhABLY
"Mona Vale Hospital Hospital,","Mona Vale Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,88,85,87,96,-33.686609,151.3067699,ROOFTOP,New South Wales,"Mona Vale Hospital, 18 Coronation St, Mona Vale NSW 2103, Australia",ChIJeYm4Ar9UDWsRObTvZJOHR1s
"Moree Hospital Hospital,","Moree Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,83,88,92,99,-29.470508,149.8402968,ROOFTOP,New South Wales,"35 Alice St, Moree NSW 2400, Australia",ChIJ61aVN1WrpmsRRbKXI-7Bs-Q
"Moruya Hospital Hospital,","Moruya Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,77,80,91,-35.90451729999999,150.0703106,ROOFTOP,New South Wales,"2 River St, Moruya NSW 2537, Australia",ChIJiy5IueHwFWsR_saZ0RthcjM
"Mount Druitt Hospital Hospital,","Mount Druitt Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,73,78,93,-33.765891,150.8296399,ROOFTOP,New South Wales,"75 Railway St, Mount Druitt NSW 2770, Australia",ChIJA0j-b0SaEmsREDx16_G3fVY
"Mudgee Health Service Hospital,","Mudgee Health Service Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,81,73,80,,-32.6033439,149.5883266,GEOMETRIC_CENTER,Australia,"Meares St, Mudgee NSW 2850, Australia",ChIJd1DVNQuJDmsR_b1jqN9XzaQ
"Murrumbidgee Hospital,","Murrumbidgee Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,88,86,91,98,-35.1185908,147.3573967,GEOMETRIC_CENTER,Australia,"Docker St, Wagga Wagga NSW 2650, Australia",ChIJ7TeJQG6ZGGsR4aLCaSooTlg
"Murrumburrah-Harden Hospital Hospital,","Murrumburrah-Harden Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,99,100,100,100,-34.5557351,148.3603519,ROOFTOP,New South Wales,"54 Swift St, Harden NSW 2587, Australia",ChIJYVrXoBngGWsRCKVz3bgA8hY
"Murwillumbah Hospital Hospital,","Murwillumbah Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,87,87,88,98,-28.323391,153.4004749,GEOMETRIC_CENTER,Australia,"Ewing St, Murwillumbah NSW 2484, Australia",ChIJyb9adgfwkGsRjZ0S9SPtBRA
"Muswellbrook Hospital Hospital,","Muswellbrook Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,78,83,97,-32.2645267,150.8999433,GEOMETRIC_CENTER,Australia,"Brentwood St, Muswellbrook NSW 2333, Australia",ChIJg80wXiJhC2sRQM79c7UJBg8
"Narrabri Hospital Hospital,","Narrabri Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,,100,89,94,99,-30.3255512,149.7764306,ROOFTOP,New South Wales,"66 Gibbons St, Narrabri NSW 2390, Australia",ChIJA69rG0Y0p2sRtBBWqDI9kho
"Narrandera Hospital Hospital,","Narrandera Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,100,100,100,100,-34.7431437,146.5467972,ROOFTOP,New South Wales,"54 Adams St, Narrandera NSW 2700, Australia",ChIJSbvDLfZpH2sR76aa2ioPY1Y
"Narromine Health Service Hospital,","Narromine Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,76,89,96,98,-32.2426481,148.2391701,ROOFTOP,New South Wales,"128 Cathundril St, Narromine NSW 2821, Australia",ChIJ-76_FlSCBWsRYND9c7UJBg8
"Nepean Blue Mountains Hospital,","Nepean Blue Mountains Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,68,62,75,90,-33.7588094,150.7137515,GEOMETRIC_CENTER,Australia,"Derby St, Kingswood NSW 2747, Australia",ChIJhSv0HYeFEmsRAAvw-Wh9AQ8
"Nepean Hospital Hospital,","Nepean Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,63,47,65,86,-33.760184,150.7121629,ROOFTOP,New South Wales,"Nepean Hospital, Derby St, Penrith NSW 2750, Australia",ChIJC_eqB4eFEmsR96CibhfKJ2o
"New South Wales Hospital,","New South Wales Hospital, New South Wales, Australia",New South Wales,100%,State,FY,2018–19,100,79,74,79,93,-33.8374705,151.0925689,GEOMETRIC_CENTER,Australia,"Hospital Rd, Concord NSW 2139, Australia",ChIJK2Z-xh-lEmsR4Anw-Wh9AQ8
"Nimbin Multi Purpose Service Hospital,","Nimbin Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,91,93,95,98,-28.597566,153.223044,ROOFTOP,New South Wales,"35 Cullen St, Nimbin NSW 2480, Australia",ChIJD5ceQsmXkGsRg3nhgiT0QQk
"Northern Beaches Hospital Hospital,","Northern Beaches Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,61,55,66,88,-33.7511545,151.2330275,ROOFTOP,New South Wales,"105 Frenchs Forest Rd W, Frenchs Forest NSW 2086, Australia",ChIJfZM6p4qpEmsRIvQXSkjntvU
"Northern NSW Hospital,","Northern NSW Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,,84,78,81,95,-28.8089175,153.2919905,ROOFTOP,New South Wales,"60 Uralba St, Lismore NSW 2480, Australia",ChIJlYbI3wWekGsR8Q_OFetWOYo
"Northern Sydney Hospital,","Northern Sydney Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,78,74,81,94,-33.8214756,151.1898008,ROOFTOP,City of Willoughby,"Douglas Building, Level 5 Reserve Rd, St Leonards NSW 2065, Australia",ChIJw8jDg-yuEmsRF49AbVLISqE
"Nyngan Multi Purpose Service Hospital,","Nyngan Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,80,96,99,100,-31.5618416,147.202262,ROOFTOP,New South Wales,"15 Hoskins St, Nyngan NSW 2825, Australia",ChIJocNCXK4WBGsRvPgoE70NrUg
"Oberon Multi Purpose Service Hospital,","Oberon Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,76,92,97,99,-33.705206,149.853451,ROOFTOP,Australia,"65-75, Oberon NSW 2787, Australia",ChIJza8hPRsgEmsRAGrRNRCISFI
"Orange Health Service Hospital,","Orange Health Service Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,91,73,78,93,-33.3173267,149.0939552,ROOFTOP,New South Wales,"1530 Forest Rd, Orange NSW 2800, Australia",ChIJP98gFswsEGsRFj7MbBOXYoM
"Pambula Hospital Hospital,","Pambula Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,,,,-36.926022,149.877934,GEOMETRIC_CENTER,Australia,"Merimbola St, Pambula NSW 2549, Australia",ChIJrczaBk-gPmsRHrn4bQ5Y9u0
"Peak Hill Multipurpose Service Hospital,","Peak Hill Multipurpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,100,96,99,99,-32.7357027,148.1995814,ROOFTOP,New South Wales,"111 Newell Hwy, Peak Hill NSW 2869, Australia",ChIJ0Q394bdaBWsRaFTF3hJM5cY
"Port Macquarie Hospital Hospital,","Port Macquarie Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,72,72,83,97,-31.4519365,152.8782913,GEOMETRIC_CENTER,Australia,"Wrights Rd, Port Macquarie NSW 2444, Australia",ChIJowuf4nn_nWsR4M79c7UJBg8
"Prince of Wales Hospital Hospital,","Prince of Wales Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,71,75,82,92,-33.9190563,151.2391622,ROOFTOP,New South Wales,"320-346 Barker St, Randwick NSW 2031, Australia",ChIJxznDiCGyEmsRwAnw-Wh9AQ8
"Queanbeyan Hospital Hospital,","Queanbeyan Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,90,86,83,93,-35.347473,149.2324666,ROOFTOP,New South Wales,"107 Collett St, Queanbeyan NSW 2620, Australia",ChIJ27KvPOVOFmsRGxxFnfqEUn4
"Quirindi Hospital Hospital,","Quirindi Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,78,82,90,99,-31.5002355,150.6767313,ROOFTOP,New South Wales,"50 Nowland St, Quirindi NSW 2343, Australia",ChIJ71HeB9_7CmsRcQbDrwAUlms
"Royal North Shore Hospital Hospital,","Royal North Shore Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,78,74,80,93,-33.8223069,151.1915471,GEOMETRIC_CENTER,Australia,"Royal North Shore Hospital, Reserve Rd, St Leonards NSW 2065, Australia",ChIJS_Q6FN6uEmsRLlkZG04aXFQ
"Royal Prince Alfred Hospital Hospital,","Royal Prince Alfred Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,81,70,80,94,-33.8891822,151.1829669,ROOFTOP,New South Wales,"50 Missenden Rd, Camperdown NSW 2050, Australia",ChIJd7mELCywEmsR0Ajw-Wh9AQ8
"Ryde Hospital Hospital,","Ryde Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,82,85,86,93,-33.7979852,151.1236441,GEOMETRIC_CENTER,Australia,"Wicks Rd, North Ryde NSW 2113, Australia",ChIJcQr1fe6lEmsR8Anw-Wh9AQ8
"Rylstone Multi Purpose Service Hospital,","Rylstone Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,82,96,96,97,-32.797121,149.9692936,APPROXIMATE,2849,"Rylstone NSW 2849, Australia",ChIJu6hGBlfNDWsRIGtDkLQJBgQ
"Scone Hospital Hospital,","Scone Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,,94,88,90,98,-32.0518299,150.8770822,GEOMETRIC_CENTER,Australia,"Stafford St, Scone NSW 2337, Australia",ChIJi_jRcJNrC2sRU_D66bp2RFU
"Shellharbour Hospital Hospital,","Shellharbour Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,85,65,74,91,-34.5590196,150.8413165,ROOFTOP,New South Wales,"15-17 Madigan Blvd, Mount Warrigal NSW 2528, Australia",ChIJBRU9tpkTE2sRIAfw-Wh9AQ8
"Shoalhaven Hospital Hospital,","Shoalhaven Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,78,64,72,91,-34.8683639,150.5952018,GEOMETRIC_CENTER,Australia,"Scenic Dr, Nowra NSW 2541, Australia",ChIJP6VKEx2AFGsRbKQYmBcHYC8
"Singleton Hospital Hospital,","Singleton Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,75,79,94,-32.5667761,151.1852732,GEOMETRIC_CENTER,Australia,"Dangar Rd, Singleton NSW 2330, Australia",ChIJv6h3xCqwDGsR-gk8sXqJ-D0
"South East Regional Hospital Hospital,","South East Regional Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,80,78,77,90,-36.6889334,149.8584412,ROOFTOP,New South Wales,"4 Virginia Drive, Bega NSW 2550, Australia",ChIJcYH6uGWCPmsRaiVJvb7c0a8
"South Eastern Sydney Hospital,","South Eastern Sydney Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,,79,75,85,96,-33.9656716,151.1330964,ROOFTOP,New South Wales,"15 O'Keefes Ln, Kogarah NSW 2217, Australia",ChIJ4RU2FOS5EmsR9rLHMkA1ok4
"South Western Sydney Hospital,","South Western Sydney Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,74,76,82,95,-33.9172951,150.9282887,ROOFTOP,New South Wales,"40 Bigge St, Liverpool NSW 2170, Australia",ChIJh6OjUMCVEmsRu5GNQ4d4GQg
"Southern NSW Hospital,","Southern NSW Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,83,79,81,93,-36.6889334,149.8584412,ROOFTOP,New South Wales,"4 Virginia Drive, Bega NSW 2550, Australia",ChIJcYH6uGWCPmsRaiVJvb7c0a8
"St George Hospital NSW Hospital,","St George Hospital NSW Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,73,83,97,-33.9668262,151.1344452,GEOMETRIC_CENTER,Australia,"Gray St, Kogarah NSW 2217, Australia",ChIJmxezx-a5EmsRLHqHbRBUp7w
"St Vincent's Health Network Hospital,","St Vincent's Health Network Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,87,73,77,90,-33.8805454,151.2207522,ROOFTOP,New South Wales,"390 Victoria St, Darlinghurst NSW 2010, Australia",ChIJ9VZuPhCuEmsRDZYB2-C-OZE
"St Vincent's Hospital [Darlinghurst] Hospital,","St Vincent's Hospital [Darlinghurst] Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,87,73,77,90,-33.8805454,151.2207522,ROOFTOP,New South Wales,"390 Victoria St, Darlinghurst NSW 2010, Australia",ChIJ9VZuPhCuEmsRDZYB2-C-OZE
"Sutherland Hospital Hospital,","Sutherland Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,77,76,86,96,-34.0371135,151.1148321,GEOMETRIC_CENTER,2229,"Kingsway & Kareena Rd, Caringbah NSW 2229, Australia",ChIJ0x0-6O3HEmsR33shadiF0MY
"Sydney Hospital,","Sydney Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,84,73,80,94,-33.8374705,151.0925689,GEOMETRIC_CENTER,Australia,"Hospital Rd, Concord NSW 2139, Australia",ChIJK2Z-xh-lEmsR4Anw-Wh9AQ8
"Sydney Children's Hospital Hospital,","Sydney Children's Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,87,80,67,93,-33.9171283,151.2382296,GEOMETRIC_CENTER,Australia,"High St, Randwick NSW 2031, Australia",ChIJvy2qrxiyEmsRfQGpVUWN4bQ
"Sydney Children's Hospitals Network Hospital,","Sydney Children's Hospitals Network Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,69,76,62,84,-33.9171283,151.2382296,GEOMETRIC_CENTER,Australia,"High St, Randwick NSW 2031, Australia",ChIJvy2qrxiyEmsRfQGpVUWN4bQ
"Sydney Hospital / Sydney Eye Hospital Hospital,","Sydney Hospital / Sydney Eye Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,,99,88,89,97,-33.8681704,151.2123274,ROOFTOP,New South Wales,"8 Macquarie St, Sydney NSW 2000, Australia",ChIJKZrD_GquEmsRlI1Oi9TZ1p8
"Tamworth Hospital Hospital,","Tamworth Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,73,66,66,86,-31.0730848,150.9256034,GEOMETRIC_CENTER,Australia,"Dean St, North Tamworth NSW 2340, Australia",ChIJz9CrsjCfCmsREM79c7UJBg8
"Temora Hospital Hospital,","Temora Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,,74,93,98,100,-34.4427113,147.5433521,ROOFTOP,New South Wales,"169 Temora Young Road, Temora NSW 2666, Australia",ChIJXZj9FNAOGWsRoNL9c7UJBg8
"Tenterfield Hospital Hospital,","Tenterfield Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,80,87,92,99,-29.0450179,152.0134083,ROOFTOP,New South Wales,"1 Naas St, Tenterfield NSW 2372, Australia",ChIJSbl6TI5NmGsR4o8PFcGeEjk
"The Children's Hospital at Westmead Hospital,","The Children's Hospital at Westmead Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,54,74,59,73,-33.8018122,150.992716,GEOMETRIC_CENTER,Australia,"Cnr Hawkesbury Rd &, Hainsworth St, Westmead NSW 2145, Australia",ChIJ8RhWKeWiEmsRk_CtgcrETJA
"The Tweed Hospital Hospital,","The Tweed Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,87,80,87,97,-28.1771353,153.5454343,GEOMETRIC_CENTER,2485,"Powell St & Florence Street, Tweed Heads NSW 2485, Australia",ChIJWTkT0ScAkWsRCLpaHu7mVaA
"Tibooburra Hospital Hospital,","Tibooburra Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,98,,,-29.4329162,142.0121438,GEOMETRIC_CENTER,Australia,"Sturt St, Tibooburra NSW 2880, Australia",ChIJR6U4iZrf9moR9aLihWuxdCE
"Tingha Multi Purpose Service Hospital,","Tingha Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,,100,,-29.95039299999999,151.206307,ROOFTOP,New South Wales,"13997 Guyra Rd, Tingha NSW 2369, Australia",ChIJd04X7EDkoWsRUnhcpdPWKi0
"Tocumwal Hospital Hospital,","Tocumwal Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,83,98,98,98,-35.8152696,145.569225,GEOMETRIC_CENTER,Australia,"Calaway St, Tocumwal NSW 2714, Australia",ChIJa0_vcDWpIGsRu3sU8qWLXL4
"Tomaree Hospital Hospital,","Tomaree Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,69,70,77,94,-32.7200047,152.1589231,ROOFTOP,New South Wales,"2 Trevally St, Nelson Bay NSW 2315, Australia",ChIJ0W7d3FeBc2sRacQZOXVfi_M
"Tottenham Multipurpose Service Hospital,","Tottenham Multipurpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,57,87,98,100,-32.2425881,147.3580863,ROOFTOP,New South Wales,"LOT 1 Moodana St, Tottenham NSW 2873, LOT 1 Moodana St, Tottenham NSW 2873, Australia",ChIJe8CCfTrsBGsRa-tWbyWSyss
"Trangie Multi Purpose Service Hospital,","Trangie Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,48,87,97,99,-32.0307807,147.9764282,ROOFTOP,New South Wales,"28 Harris St, Trangie NSW 2823, Australia",ChIJ4WVqWTq9BWsRzX2n8PzFC_I
"Trundle Multi Purpose Health Service Hospital,","Trundle Multi Purpose Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,93,99,100,100,-32.9210921,147.7042762,ROOFTOP,New South Wales,"44 Brookview St, Trundle NSW 2875, Australia",ChIJy242UGzXGmsR33j7L0mFhaI
"Tullamore Multi Purpose Health Service Hospital,","Tullamore Multi Purpose Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,84,98,99,-32.6347629,147.5687668,ROOFTOP,New South Wales,"1-5 Hinkler St, Tullamore NSW 2874, Australia",ChIJLcpMe8bWBGsRLNTQMQzGroo
